epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
87,208.639,0.00271,1,1,0,0.000247716,0.000247716,0.000247716
88,210.743,0.0018,1,1,0,0.000231213,0.000231213,0.000231213
89,213.779,0.00029,1,1,0,0.00021471,0.00021471,0.00021471
90,215.82,0.0001,1,1,0,0.000198206,0.000198206,0.000198206
91,223.91,0.00141,1,1,0,0.000181703,0.000181703,0.000181703
92,226.104,0.00101,1,1,0,0.0001652,0.0001652,0.0001652
93,228.266,0.00148,1,1,0,0.000148696,0.000148696,0.000148696
94,230.676,0.001,1,1,0,0.000132193,0.000132193,0.000132193
95,233.081,0.00881,1,1,0,0.00011569,0.00011569,0.00011569
96,235.987,0.00172,1,1,0,9.91865e-05,9.91865e-05,9.91865e-05
97,237.902,0.00068,1,1,0,8.26832e-05,8.26832e-05,8.26832e-05
98,240.506,0.01455,1,1,0,6.61799e-05,6.61799e-05,6.61799e-05
99,243.18,0.00175,1,1,0,4.96766e-05,4.96766e-05,4.96766e-05
100,245.226,0.00019,1,1,0,3.31733e-05,3.31733e-05,3.31733e-05
