epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
82,39.0738,0.00073,1,1,0,0.000330233,0.000330233,0.000330233
83,39.5279,0.00106,1,1,0,0.000313729,0.000313729,0.000313729
84,40.0149,0.00145,1,1,0,0.000297226,0.000297226,0.000297226
85,40.4519,0.01033,1,1,0,0.000280723,0.000280723,0.000280723
86,40.9694,0.00056,1,1,0,0.00026422,0.00026422,0.00026422
87,41.4341,0.00046,1,1,0,0.000247716,0.000247716,0.000247716
88,41.9291,0.00087,1,1,0,0.000231213,0.000231213,0.000231213
89,42.3928,0.00017,1,1,0,0.00021471,0.00021471,0.00021471
90,42.8907,0.00061,1,1,0,0.000198206,0.000198206,0.000198206
91,44.2189,0.00165,1,1,0,0.000181703,0.000181703,0.000181703
92,44.6816,0.00077,1,1,0,0.0001652,0.0001652,0.0001652
93,45.1145,0.0003,1,1,0,0.000148696,0.000148696,0.000148696
94,45.5649,0.02551,1,1,0,0.000132193,0.000132193,0.000132193
95,46.007,0.00139,1,1,0,0.00011569,0.00011569,0.00011569
96,46.4556,0.00174,1,1,0,9.91865e-05,9.91865e-05,9.91865e-05
97,46.8836,0.01195,1,1,0,8.26832e-05,8.26832e-05,8.26832e-05
98,47.3332,0.00115,1,1,0,6.61799e-05,6.61799e-05,6.61799e-05
99,47.747,0.00034,1,1,0,4.96766e-05,4.96766e-05,4.96766e-05
100,48.202,0.00168,1,1,0,3.31733e-05,3.31733e-05,3.31733e-05
